EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:52 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,TotalCatch

timestep,value
1,0.3235004
2,0.3234997
3,0.3234992
4,0.3234988
5,0.3234986
6,0.3234984
7,0.3234983
8,0.3234983
9,0.3234983
10,0.3234984
11,0.3234985
12,0.3234987
13,0.3234989
14,0.3234991
15,0.3234993
16,0.3234996
17,0.3234998
18,0.3235001
19,0.3235003
20,0.3235006
21,0.3235009
22,0.3235012
23,0.3235016
24,0.3235019
25,0.3235022
26,0.3235026
27,0.323503
28,0.3235034
29,0.3235039
30,0.3235044
31,0.3235048
32,0.3235054
33,0.3235059
34,0.3235065
35,0.3235071
36,0.3235078
37,0.3235085
38,0.3235092
39,0.32351
40,0.3235108
41,0.3235116
42,0.3235125
43,0.3235134
44,0.3235143
45,0.3235152
46,0.3235162
47,0.3235172
48,0.3235182
49,0.3235191
50,0.3235201
51,0.323521
52,0.323522
53,0.3235229
54,0.3235237
55,0.3235246
56,0.3235254
57,0.3235261
58,0.3235267
59,0.3235274
60,0.3235279
61,0.3235283
62,0.3235287
63,0.3235289
64,0.3235291
65,0.3235292
66,0.3235292
67,0.323529
68,0.3235288
69,0.3235285
70,0.3235281
71,0.3235277
72,0.3235271
73,0.3235265
74,0.3235258
75,0.3235251
76,0.3235243
77,0.3235235
78,0.3235227
79,0.3235219
80,0.323521
81,0.3235202
82,0.3235194
83,0.3235186
84,0.3235179
85,0.3235173
86,0.3235167
87,0.3235162
88,0.3235157
89,0.3235154
90,0.3235152
91,0.3235151
92,0.323515
93,0.3235151
94,0.3235152
95,0.3235155
96,0.3235158
97,0.3235163
98,0.3235168
99,0.3235175
100,0.3235182
101,0.323519
102,0.3235198
103,0.3235207
104,0.3235216
105,0.3235226
106,0.3235236
107,0.3235246
108,0.3235255
109,0.3235265
110,0.3235275
111,0.3235284
112,0.3235293
113,0.3235301
114,0.3235309
115,0.3235316
116,0.3235323
117,0.3235328
118,0.3235333
119,0.3235337
120,0.323534
121,0.3235342
122,0.3235344
123,0.3235344
124,0.3235343
125,0.3235342
126,0.323534
127,0.3235337
128,0.3235333
129,0.3235328
130,0.3235323
131,0.3235318
132,0.3235311
133,0.3235304
134,0.3235297
135,0.3235289
136,0.3235281
137,0.3235272
138,0.3235264
139,0.3235255
140,0.3235247
141,0.3235238
142,0.323523
143,0.3235222
144,0.3235214
145,0.3235206
146,0.3235199
147,0.3235193
148,0.3235187
149,0.3235182
150,0.3235178
151,0.3235174
152,0.3235171
153,0.3235169
154,0.3235168
155,0.3235168
156,0.3235169
157,0.3235171
158,0.3235173
159,0.3235177
160,0.3235182
161,0.3235188
162,0.3235194
163,0.3235201
164,0.3235209
165,0.3235218
166,0.3235227
167,0.3235237
168,0.3235247
169,0.3235257
170,0.3235267
171,0.3235278
172,0.3235288
173,0.3235298
174,0.3235307
175,0.3235316
176,0.3235324
177,0.3235331
178,0.3235338
179,0.3235343
180,0.3235348
181,0.3235351
182,0.3235354
183,0.3235355
184,0.3235355
185,0.3235354
186,0.3235351
187,0.3235347
188,0.3235343
189,0.3235337
190,0.323533
191,0.3235323
192,0.3235315
193,0.3235306
194,0.3235297
195,0.3235287
196,0.3235278
197,0.3235268
198,0.3235258
199,0.3235249
200,0.323524
201,0.3235232
202,0.3235224
203,0.3235217
204,0.3235211
205,0.3235206
206,0.3235202
207,0.3235199
208,0.3235197
209,0.3235196
210,0.3235196
211,0.3235197
212,0.3235199
213,0.3235202
214,0.3235206
215,0.3235211
216,0.3235217
217,0.3235223
218,0.323523
219,0.3235237
220,0.3235244
221,0.3235252
222,0.323526
223,0.3235268
224,0.3235275
225,0.3235283
226,0.323529
227,0.3235297
228,0.3235303
229,0.3235309
230,0.3235314
231,0.323532
232,0.3235324
233,0.3235328
234,0.3235331
235,0.3235334
236,0.3235336
237,0.3235337
238,0.3235338
239,0.3235339
240,0.3235339
241,0.3235339
242,0.3235338
243,0.3235336
244,0.3235335
245,0.3235333
246,0.323533
247,0.3235328
248,0.3235325
249,0.3235321
250,0.3235318
251,0.3235314
252,0.3235309
253,0.3235305
254,0.32353
255,0.3235295
256,0.323529
257,0.3235285
258,0.3235279
259,0.3235274
260,0.3235268
261,0.3235262
262,0.3235256
263,0.323525
264,0.3235245
265,0.323524
266,0.3235235
267,0.323523
268,0.3235227
269,0.3235223
270,0.323522
271,0.3235219
272,0.3235217
273,0.3235217
274,0.3235217
275,0.3235219
276,0.3235222
277,0.3235225
278,0.323523
279,0.3235236
280,0.3235242
281,0.323525
282,0.3235258
283,0.3235267
284,0.3235277
285,0.3235287
286,0.3235298
287,0.3235309
288,0.3235319
289,0.323533
290,0.323534
291,0.323535
292,0.3235359
293,0.3235367
294,0.3235374
295,0.323538
296,0.3235386
297,0.3235389
298,0.3235391
299,0.3235392
300,0.3235391
301,0.3235389
302,0.3235385
303,0.3235379
304,0.3235373
305,0.3235365
306,0.3235356
307,0.3235347
308,0.3235336
309,0.3235325
310,0.3235313
311,0.3235302
312,0.323529
313,0.3235279
314,0.3235268
315,0.3235258
316,0.3235248
317,0.323524
318,0.3235232
319,0.3235226
320,0.3235222
321,0.3235218
322,0.3235216
323,0.3235215
324,0.3235216
325,0.3235218
326,0.3235221
327,0.3235226
328,0.3235231
329,0.3235238
330,0.3235245
331,0.3235253
332,0.3235261
333,0.323527
334,0.3235279
335,0.3235287
336,0.3235295
337,0.3235303
338,0.3235311
339,0.3235317
340,0.3235323
341,0.3235328
342,0.3235333
343,0.3235337
344,0.323534
345,0.3235342
346,0.3235343
347,0.3235343
348,0.3235343
349,0.3235343
350,0.3235342
351,0.3235341
352,0.323534
353,0.3235338
354,0.3235337
355,0.3235335
356,0.3235334
357,0.3235333
358,0.3235332
359,0.3235331
360,0.3235331
361,0.3235332
362,0.3235332
363,0.3235333
364,0.3235333
365,0.3235334
366,0.3235335
367,0.3235336
368,0.3235336
369,0.3235336
370,0.3235336
371,0.3235334
372,0.3235333
373,0.323533
374,0.3235327
375,0.3235323
376,0.3235318
377,0.3235312
378,0.3235306
379,0.3235299
380,0.3235291
381,0.3235283
382,0.3235275
383,0.3235267
384,0.3235258
385,0.323525
386,0.3235243
387,0.3235236
388,0.3235229
389,0.3235224
390,0.3235221
391,0.3235218
392,0.3235218
393,0.3235219
394,0.3235221
395,0.3235225
396,0.3235232
397,0.3235239
398,0.3235249
399,0.323526
400,0.3235272
401,0.3235286
402,0.32353
403,0.3235316
404,0.3235331
405,0.3235346
406,0.3235362
407,0.3235376
408,0.323539
409,0.3235403
410,0.3235414
411,0.3235424
412,0.3235431
413,0.3235436
414,0.3235439
415,0.323544
416,0.3235438
417,0.3235434
418,0.3235427
419,0.3235419
420,0.3235408
421,0.3235395
422,0.3235381
423,0.3235365
424,0.3235348
425,0.3235331
426,0.3235314
427,0.3235297
428,0.323528
429,0.3235264
430,0.3235249
431,0.3235236
432,0.3235224
433,0.3235214
434,0.3235207
435,0.3235202
436,0.32352
437,0.32352
438,0.3235202
439,0.3235207
440,0.3235214
441,0.3235223
442,0.3235233
443,0.3235245
444,0.3235258
445,0.3235273
446,0.3235287
447,0.3235302
448,0.3235316
449,0.3235329
450,0.3235342
451,0.3235353
452,0.3235363
453,0.3235371
454,0.3235378
455,0.3235382
456,0.3235384
457,0.3235385
458,0.3235383
459,0.3235379
460,0.3235373
461,0.3235367
462,0.3235359
463,0.323535
464,0.3235341
465,0.3235331
466,0.3235322
467,0.3235312
468,0.3235304
469,0.3235297
470,0.3235291
471,0.3235286
472,0.3235283
473,0.3235283
474,0.3235283
475,0.3235286
476,0.3235291
477,0.3235298
478,0.3235306
479,0.3235315
480,0.3235326
481,0.3235337
482,0.3235348
483,0.3235359
484,0.3235371
485,0.3235381
486,0.323539
487,0.3235397
488,0.3235403
489,0.3235406
490,0.3235407
491,0.3235405
492,0.3235401
493,0.3235394
494,0.3235385
495,0.3235373
496,0.3235359
497,0.3235343
498,0.3235326
499,0.3235307
500,0.3235287
501,0.3235268
502,0.3235248
503,0.323523
504,0.3235212
505,0.3235196
506,0.3235183
507,0.3235172
508,0.3235165
509,0.323516
510,0.3235159
511,0.3235162
512,0.323517
513,0.323518
514,0.3235195
515,0.3235213
516,0.3235234
517,0.3235258
518,0.3235283
519,0.3235311
520,0.323534
521,0.3235368
522,0.3235397
523,0.3235424
524,0.323545
525,0.3235474
526,0.3235494
527,0.3235511
528,0.3235524
529,0.3235533
530,0.3235537
531,0.3235537
532,0.3235531
533,0.3235521
534,0.3235507
535,0.3235488
536,0.3235465
537,0.3235439
538,0.323541
539,0.323538
540,0.3235348
541,0.3235314
542,0.3235282
543,0.3235251
544,0.3235221
545,0.3235194
546,0.323517
547,0.3235149
548,0.3235133
549,0.3235122
550,0.3235116
551,0.3235115
552,0.323512
553,0.3235129
