EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Bryozoans"

timestep\group,Gurnards,
1,0.03870976
2,0.03870269
3,0.03870535
4,0.03870775
5,0.03870965
6,0.03871113
7,0.03871221
8,0.03871293
9,0.03871335
10,0.03871352
11,0.0387135
12,0.03871333
13,0.03871306
14,0.03871273
15,0.03871236
16,0.03871199
17,0.03871164
18,0.03871133
19,0.03871104
20,0.03871081
21,0.03871062
22,0.03871048
23,0.03871036
24,0.0387103
25,0.03871027
26,0.03871026
27,0.03871027
28,0.03871028
29,0.0387103
30,0.0387103
31,0.0387103
32,0.03871029
33,0.03871026
34,0.03871019
35,0.03871008
36,0.03870995
37,0.03870977
38,0.03870957
39,0.03870932
40,0.03870905
41,0.03870874
42,0.0387084
43,0.03870804
44,0.03870766
45,0.03870727
46,0.03870688
47,0.03870648
48,0.0387061
49,0.03870572
50,0.03870537
51,0.03870505
52,0.03870475
53,0.03870451
54,0.03870432
55,0.03870417
56,0.03870407
57,0.03870403
58,0.03870407
59,0.03870416
60,0.0387043
61,0.03870451
62,0.03870478
63,0.0387051
64,0.03870545
65,0.03870584
66,0.03870626
67,0.0387067
68,0.03870716
69,0.03870762
70,0.03870807
71,0.03870849
72,0.03870889
73,0.03870926
74,0.03870958
75,0.03870983
76,0.03871004
77,0.03871018
78,0.03871024
79,0.03871023
80,0.03871014
81,0.03870999
82,0.03870975
83,0.03870944
84,0.03870907
85,0.03870864
86,0.03870816
87,0.03870763
88,0.03870707
89,0.03870648
90,0.03870588
91,0.03870528
92,0.03870468
93,0.03870412
94,0.03870359
95,0.0387031
96,0.03870266
97,0.03870229
98,0.03870197
99,0.03870174
100,0.03870159
101,0.03870152
102,0.03870153
103,0.03870162
104,0.0387018
105,0.03870204
106,0.03870237
107,0.03870275
108,0.0387032
109,0.03870368
110,0.03870422
111,0.03870478
112,0.03870537
113,0.03870596
114,0.03870654
115,0.03870712
116,0.03870767
117,0.0387082
118,0.0387087
119,0.03870914
120,0.03870954
121,0.03870989
122,0.0387102
123,0.03871043
124,0.03871063
125,0.03871077
126,0.03871086
127,0.0387109
128,0.0387109
129,0.03871087
130,0.03871081
131,0.03871072
132,0.03871062
133,0.0387105
134,0.03871037
135,0.03871024
136,0.03871011
137,0.03871
138,0.03870989
139,0.03870979
140,0.0387097
141,0.03870961
142,0.03870954
143,0.03870948
144,0.03870942
145,0.03870935
146,0.03870928
147,0.03870919
148,0.03870908
149,0.03870896
150,0.03870881
151,0.03870862
152,0.0387084
153,0.03870813
154,0.03870782
155,0.03870747
156,0.03870709
157,0.03870666
158,0.0387062
159,0.03870572
160,0.0387052
161,0.03870468
162,0.03870415
163,0.03870362
164,0.03870312
165,0.03870263
166,0.03870219
167,0.03870181
168,0.03870149
169,0.03870125
170,0.03870109
171,0.03870102
172,0.03870105
173,0.03870119
174,0.03870143
175,0.03870178
176,0.03870225
177,0.03870282
178,0.03870348
179,0.03870422
180,0.03870505
181,0.03870594
182,0.03870688
183,0.03870785
184,0.03870882
185,0.03870981
186,0.03871076
187,0.03871167
188,0.03871251
189,0.03871327
190,0.03871394
191,0.03871449
192,0.03871492
193,0.03871521
194,0.03871537
195,0.03871537
196,0.03871522
197,0.03871492
198,0.03871449
199,0.03871392
200,0.03871322
201,0.03871242
202,0.03871152
203,0.03871055
204,0.03870951
205,0.03870843
206,0.03870736
207,0.03870628
208,0.03870524
209,0.03870425
210,0.03870334
211,0.03870251
212,0.03870181
213,0.0387012
214,0.03870074
215,0.03870042
216,0.03870024
217,0.0387002
218,0.03870031
219,0.03870056
220,0.03870093
221,0.03870142
222,0.03870202
223,0.0387027
224,0.03870345
225,0.03870424
