EwEVersion,"6.6.7.17812 (compiled 28/02/2022)"
Date,"26/02/2023 11:47:50 AM"
ModelName,CS_model_V1_110722
EcosimScenario,"New Ecosim scenario"
TimeSeries,(none)
StartYear,2020

Data,"PredationMortality of Leatherjackets"

timestep\group,"Demersal fish",
1,0.6631919
2,0.6630745
3,0.6630462
4,0.6630186
5,0.6629936
6,0.6629714
7,0.6629521
8,0.6629354
9,0.6629214
10,0.6629094
11,0.6629
12,0.6628928
13,0.6628878
14,0.6628851
15,0.6628844
16,0.6628858
17,0.6628892
18,0.6628942
19,0.662901
20,0.6629094
21,0.6629189
22,0.6629297
23,0.6629412
24,0.6629535
25,0.6629661
26,0.6629789
27,0.6629919
28,0.6630048
29,0.6630172
30,0.6630293
31,0.6630405
32,0.6630509
33,0.6630605
34,0.6630691
35,0.6630765
36,0.6630827
37,0.6630875
38,0.6630912
39,0.6630936
40,0.6630949
41,0.6630949
42,0.6630938
43,0.6630918
44,0.663089
45,0.6630854
46,0.6630812
47,0.6630765
48,0.6630718
49,0.6630669
50,0.6630619
51,0.6630574
52,0.6630529
53,0.6630495
54,0.6630462
55,0.6630439
56,0.6630425
57,0.6630422
58,0.6630427
59,0.6630442
60,0.6630468
61,0.6630505
62,0.6630551
63,0.6630605
64,0.6630669
65,0.6630737
66,0.6630811
67,0.6630889
68,0.663097
69,0.663105
70,0.6631128
71,0.6631205
72,0.6631274
73,0.6631341
74,0.6631397
75,0.6631446
76,0.6631485
77,0.6631514
78,0.6631531
79,0.6631536
80,0.6631531
81,0.6631516
82,0.6631491
83,0.6631454
84,0.6631408
85,0.6631357
86,0.6631299
87,0.6631238
88,0.6631175
89,0.6631112
90,0.663105
91,0.6630989
92,0.6630934
93,0.6630886
94,0.6630846
95,0.6630813
96,0.663079
97,0.6630779
98,0.6630778
99,0.6630789
100,0.6630809
101,0.663084
102,0.663088
103,0.6630927
104,0.6630982
105,0.6631042
106,0.6631104
107,0.6631171
108,0.6631237
109,0.66313
110,0.6631357
111,0.6631411
112,0.6631455
113,0.6631492
114,0.6631519
115,0.6631536
116,0.663154
117,0.6631532
118,0.663151
119,0.6631477
120,0.6631434
121,0.6631379
122,0.6631316
123,0.6631244
124,0.6631168
125,0.6631088
126,0.6631005
127,0.6630924
128,0.6630846
129,0.6630774
130,0.6630706
131,0.6630648
132,0.6630599
133,0.6630564
134,0.6630543
135,0.6630535
136,0.663054
137,0.663056
138,0.6630597
139,0.6630644
140,0.6630702
141,0.6630774
142,0.6630855
143,0.6630943
144,0.6631035
145,0.6631131
146,0.6631224
147,0.6631317
148,0.6631401
149,0.663148
150,0.6631548
151,0.6631604
152,0.6631647
153,0.6631675
154,0.6631684
155,0.6631678
156,0.6631656
157,0.6631616
158,0.6631561
159,0.663149
160,0.6631408
161,0.6631312
162,0.6631209
163,0.6631102
164,0.6630989
165,0.6630878
166,0.6630769
167,0.6630667
168,0.6630573
169,0.6630492
170,0.6630426
171,0.6630375
172,0.6630342
173,0.6630329
174,0.6630337
175,0.6630365
176,0.6630413
177,0.6630482
178,0.6630568
179,0.6630669
180,0.6630784
181,0.6630911
182,0.6631047
183,0.6631187
184,0.6631327
185,0.6631464
186,0.6631595
187,0.6631718
188,0.6631828
189,0.663192
190,0.6631994
191,0.6632047
192,0.6632075
193,0.6632082
194,0.6632063
195,0.6632019
196,0.6631952
197,0.6631863
198,0.6631752
199,0.6631624
200,0.6631482
201,0.6631327
202,0.6631165
203,0.6630999
204,0.6630834
205,0.6630677
206,0.6630527
207,0.6630388
208,0.6630269
209,0.6630169
210,0.6630092
211,0.6630039
212,0.6630017
213,0.6630019
214,0.6630052
215,0.6630111
216,0.6630198
217,0.6630307
218,0.6630439
219,0.6630589
220,0.6630753
221,0.6630928
222,0.6631107
223,0.6631289
224,0.6631466
225,0.6631633
226,0.663179
227,0.6631928
